nodegoat_field,RDF_URI
"Name","http://www.w3.org/2004/02/skos/core#prefLabel"
"Aliases","http://www.w3.org/2009/08/skos-reference/skos.html#altLabel"
"id","http://schema.org/identifier"
"Wikidata QID","http://schema.org/identifier"
"FAAM-ID","http://schema.org/identifier"
"Title","http://purl.org/dc/elements/1.1/title"
"Official website",
"Copyright",
"Note - Text",
"Sections - Text",
"image","P18","http://schema.org/image"
"Thumbnail",
"GitHub Image URL",
"Permalink",
"Shelfmark",
"instance of","P31"
"sex or gender","P21"
"place of birth","P19","http://schema.org/birthPlace"
"place of death","P20",""http://schema.org/deathPlace"
"date of birth","P569","http://schema.org/birthDate"
"date of death","P570","http://schema.org/deathDate"
"occupation","P106","http://schema.org/hasOccupation"
"country of citizenship","P27","http://schema.org/nationality"
"instrument","P1303"
"student of","P1066","http://www.wikidata.org/entity/P737"
"notable work","P800"
"educated at","P69","http://schema.org/alumniOf"
"employer","P108","http://www.wikidata.org/entity/P108"
"subclass of","P279","keyword"
"country","P17","country"
"place","P131","city","http://schema.org/location"
"based on","P144","http://schema.org/isBasedOn"
"GeoNames ID","P1566","https://www.geonames.org/"
"IMSLP ID","P839","https://imslp.org/wiki/"
"RISM ID","P5504","https://rism.online/"
"VIAF ID","P214","https://viaf.org/viaf/"
"CPDL ID","P2000","https://www.cpdl.org/wiki/index.php/"
"Musical Works","",""
"[Agent] Agent","","http://schema.org/contributor"
"[Agent] Role","",""
"[Agent] Location Reference","","http://schema.org/location"
"[Organisation] Organisation","","http://schema.org/contributor"
"[Organisation] Role","",""
"[Organisation] Location Reference","","http://schema.org/location"