"Object ID",Name,"Wikidata QID","subclass of - Object ID","instance of - Object ID","musical parameter - Object ID","used by - Object ID"
16004362,diagram,Q959962,15992131,15992111,,15990790
16004362,diagram,Q959962,15992131,15992111,,15990789
15992220,"numeric time signature",Q155234,15992105,15992106,16002774,15990789
15992220,"numeric time signature",Q155234,15992105,15992106,16002774,15990793
15992220,"numeric time signature",Q155234,15992105,15992106,16002774,15990790
15992220,"numeric time signature",Q155234,16004256,15992106,16002774,15990789
15992220,"numeric time signature",Q155234,16004256,15992106,16002774,15990793
15992220,"numeric time signature",Q155234,16004256,15992106,16002774,15990790
16004256,"time signature",Q155234,15992105,15992106,16002774,15990793
15992104,timbre,Q176501,,15992102,15992227,15990793
15992104,timbre,Q176501,,15992102,15992227,15990789
15992104,timbre,Q176501,,15992102,15992227,15990792
15992104,timbre,Q176501,,15992099,15992227,15990793
15992104,timbre,Q176501,,15992099,15992227,15990789
15992104,timbre,Q176501,,15992099,15992227,15990792
15992104,timbre,Q176501,,15992100,15992227,15990793
15992104,timbre,Q176501,,15992100,15992227,15990789
15992104,timbre,Q176501,,15992100,15992227,15990792
16003993,rinforzando,Q14278114,15992105,15992106,15992206,15990789
16003993,rinforzando,Q14278114,15992105,15992106,15992206,15990790
16003960,"con sordina",Q941882,16002775,16002650,15992227,15990793
16003960,"con sordina",Q941882,16002775,16002650,15992227,15990792
16003960,"con sordina",Q941882,16002775,15992106,15992227,15990793
16003960,"con sordina",Q941882,16002775,15992106,15992227,15990792
16002825,"pedal keyboard",Q1758965,16002775,16002650,15992227,15990792
16002825,"pedal keyboard",Q1758965,16002775,15992106,15992227,15990792
16002825,"pedal keyboard",Q1758965,15992107,16002650,15992227,15990792
16002825,"pedal keyboard",Q1758965,15992107,15992106,15992227,15990792
15992103,pitch,Q118819,,15992102,16002391,
15992103,pitch,Q118819,,15992100,16002391,
15992107,fingering,Q608487,16002775,15992102,15992227,15990790
15992107,fingering,Q608487,16002775,15992102,15992227,15990792
15992107,fingering,Q608487,16002775,15992106,15992227,15990790
15992107,fingering,Q608487,16002775,15992106,15992227,15990792
15992108,"Instrument Cue",,16002776,15992106,,15990793
15992108,"Instrument Cue",,16002776,15992106,,15990792
15992109,custos,Q124518047,,15992106,16002391,15990790
15992109,custos,Q124518047,,15992106,16002391,15990792
15992110,ossia,Q2032873,16002137,15992102,16002391,15990793
15992110,ossia,Q2032873,16002137,15992102,16002391,15990790
15992110,ossia,Q2032873,16002137,15992102,16002391,15990792
15992110,ossia,Q2032873,16002137,15992102,16002774,15990793
15992110,ossia,Q2032873,16002137,15992102,16002774,15990790
15992110,ossia,Q2032873,16002137,15992102,16002774,15990792
15992110,ossia,Q2032873,16002137,15992106,16002391,15990793
15992110,ossia,Q2032873,16002137,15992106,16002391,15990790
15992110,ossia,Q2032873,16002137,15992106,16002391,15990792
15992110,ossia,Q2032873,16002137,15992106,16002774,15990793
15992110,ossia,Q2032873,16002137,15992106,16002774,15990790
15992110,ossia,Q2032873,16002137,15992106,16002774,15990792
15992112,underline,Q1187096,,15992111,,15990791
15992112,underline,Q1187096,,15992111,,15990792
15992112,underline,Q1187096,,15992111,,15990793
15992113,bounding,,,15992111,,15990793
15992113,bounding,,,15992111,,15990792
15992114,"vertical break",,,15992111,,15990792
15992114,"vertical break",,,15992111,,15990793
15992115,brackets,Q174565,,15992111,,15990790
15992115,brackets,Q174565,,15992111,,15990792
15992116,deletion,,,15992111,,15990793
15992116,deletion,,,15992111,,15990792
15992116,deletion,,,15992111,,15990791
15992120,"dashed line",,15992112,15992111,,15990790
15992120,"dashed line",,15992112,15992111,,15990792
15992118,arrow,,15992117,15992111,,15990793
15992118,arrow,,15992117,15992111,,15990792
15992122,bar,Q3240892,,15992121,16002774,15990790
15992122,bar,Q3240892,,15992106,16002774,15990790
15992124,"bar number",,,15992106,16002774,15990793
15992124,"bar number",,,15992106,16002774,15990790
15992124,"bar number",,,15992106,16002774,15990792
15992125,"rest measure count",,,15992106,16002774,15990792
15992125,"rest measure count",,,15992106,16002774,15990793
15992127,"Rehearsal letter",Q1094518,,15992106,16002774,15990793
15992127,"Rehearsal letter",Q1094518,,15992106,16002774,15990790
15992127,"Rehearsal letter",Q1094518,,15992106,16002774,15990792
15992127,"Rehearsal letter",Q1094518,,15992121,16002774,15990793
15992127,"Rehearsal letter",Q1094518,,15992121,16002774,15990790
15992127,"Rehearsal letter",Q1094518,,15992121,16002774,15990792
15992128,"instrument call",,16002776,15992106,15992227,15990793
15992128,"instrument call",,16002776,15992106,15992227,15990792
15992128,"instrument call",,16002776,15992106,15992227,15990790
15992130,chronometry,Q186398,,15992102,16002774,15990792
15992130,chronometry,Q186398,,15992102,16002774,15990790
15992130,chronometry,Q186398,,15992102,16002774,15990789
15992130,chronometry,Q186398,,15992102,16002774,15990793
15992134,solmization,Q223064,,15992133,16002391,15990792
15992134,solmization,Q223064,,15992133,16002391,15990790
15992134,solmization,Q223064,,15992133,16002391,15990791
15992134,solmization,Q223064,,15992148,16002391,15990792
15992134,solmization,Q223064,,15992148,16002391,15990790
15992134,solmization,Q223064,,15992148,16002391,15990791
15992135,"figured bass",Q349603,,15992106,16002391,15990792
15992135,"figured bass",Q349603,,15992106,16002391,15990790
15992135,"figured bass",Q349603,,15992106,16002391,15990791
15992135,"figured bass",Q349603,,15992133,16002391,15990792
15992135,"figured bass",Q349603,,15992133,16002391,15990790
15992135,"figured bass",Q349603,,15992133,16002391,15990791
15992135,"figured bass",Q349603,,15992148,16002391,15990792
15992135,"figured bass",Q349603,,15992148,16002391,15990790
15992135,"figured bass",Q349603,,15992148,16002391,15990791
15992137,"Roman numeral analysis",Q2358919,,15992133,16002391,15990791
15992137,"Roman numeral analysis",Q2358919,,15992133,16002391,15990790
15992137,"Roman numeral analysis",Q2358919,,15992106,16002391,15990791
15992137,"Roman numeral analysis",Q2358919,,15992106,16002391,15990790
15992136,"chord symbol",Q1504804,,15992106,16002391,15990791
15992136,"chord symbol",Q1504804,,15992106,16002391,15990790
15992136,"chord symbol",Q1504804,,15992106,16002391,15990792
15992136,"chord symbol",Q1504804,,15992133,16002391,15990791
15992136,"chord symbol",Q1504804,,15992133,16002391,15990790
15992136,"chord symbol",Q1504804,,15992133,16002391,15990792
15992138,"phrase analysis",,,15992133,,15990790
15992138,"phrase analysis",,,15992133,,15990791
15992150,arpeggio,Q506986,15992162,15992148,16002774,15990792
15992150,arpeggio,Q506986,15992162,15992148,16002391,15990792
15992150,arpeggio,Q506986,15992162,15992106,16002774,15990792
15992150,arpeggio,Q506986,15992162,15992106,16002391,15990792
15992153,"breath mark",Q754458,15992156,15992106,16002774,15990792
15992153,"breath mark",Q754458,15992156,15992111,16002774,15990792
15992153,"breath mark",Q754458,15992143,15992106,16002774,15990792
15992153,"breath mark",Q754458,15992143,15992111,16002774,15990792
15992154,fermata,Q830328,,15992106,,15990793
15992154,fermata,Q830328,,15992106,,15990789
15992154,fermata,Q830328,,15992111,,15990793
15992154,fermata,Q830328,,15992111,,15990789
15992155,echo,Q182767,,15992148,15992227,15990792
15992155,echo,Q182767,,15992148,15992192,15990792
15992155,echo,Q182767,,15992100,15992227,15990792
15992155,echo,Q182767,,15992100,15992192,15990792
15992157,affect,Q159904,16002509,15992102,15992192,15990789
15992157,affect,Q159904,16002509,15992102,15992192,15990793
15992157,affect,Q159904,16002509,15992102,15992192,15990792
15992157,affect,Q159904,16002509,15992102,15992227,15990789
15992157,affect,Q159904,16002509,15992102,15992227,15990793
15992157,affect,Q159904,16002509,15992102,15992227,15990792
15992159,espressivo,Q109371111,16002509,15992106,15992192,15990789
15992159,espressivo,Q109371111,16002509,15992106,15992192,15990793
15992159,espressivo,Q109371111,16002509,15992106,15992192,15990790
15992159,espressivo,Q109371111,16002509,15992106,15992227,15990789
15992159,espressivo,Q109371111,16002509,15992106,15992227,15990793
15992159,espressivo,Q109371111,16002509,15992106,15992227,15990790
15992159,espressivo,Q109371111,16002509,15992102,15992192,15990789
15992159,espressivo,Q109371111,16002509,15992102,15992192,15990793
15992159,espressivo,Q109371111,16002509,15992102,15992192,15990790
15992159,espressivo,Q109371111,16002509,15992102,15992227,15990789
15992159,espressivo,Q109371111,16002509,15992102,15992227,15990793
15992159,espressivo,Q109371111,16002509,15992102,15992227,15990790
15992161,leggiero,Q1812562,16002509,15992102,15992227,15990789
15992161,leggiero,Q1812562,16002509,15992102,15992227,15990793
15992161,leggiero,Q1812562,16002509,15992102,15992227,15990790
15992161,leggiero,Q1812562,16002509,15992102,15992192,15990789
15992161,leggiero,Q1812562,16002509,15992102,15992192,15990793
15992161,leggiero,Q1812562,16002509,15992102,15992192,15990790
15992161,leggiero,Q1812562,16002509,15992106,15992227,15990789
15992161,leggiero,Q1812562,16002509,15992106,15992227,15990793
15992161,leggiero,Q1812562,16002509,15992106,15992227,15990790
15992161,leggiero,Q1812562,16002509,15992106,15992192,15990789
15992161,leggiero,Q1812562,16002509,15992106,15992192,15990793
15992161,leggiero,Q1812562,16002509,15992106,15992192,15990790
15992164,trill,Q75859,15992162,15992106,16002391,15990792
15992164,trill,Q75859,15992162,15992106,16002774,15990792
15992164,trill,Q75859,15992162,15992148,16002391,15990792
15992164,trill,Q75859,15992162,15992148,16002774,15990792
15992165,mordent,Q48811,15992162,15992106,16002774,15990789
15992165,mordent,Q48811,15992162,15992106,16002774,15990792
15992165,mordent,Q48811,15992162,15992106,16002391,15990789
15992165,mordent,Q48811,15992162,15992106,16002391,15990792
15992165,mordent,Q48811,15992162,15992148,16002774,15990789
15992165,mordent,Q48811,15992162,15992148,16002774,15990792
15992165,mordent,Q48811,15992162,15992148,16002391,15990789
15992165,mordent,Q48811,15992162,15992148,16002391,15990792
15992165,mordent,Q48811,15992143,15992106,16002774,15990789
15992165,mordent,Q48811,15992143,15992106,16002774,15990792
15992165,mordent,Q48811,15992143,15992106,16002391,15990789
15992165,mordent,Q48811,15992143,15992106,16002391,15990792
15992165,mordent,Q48811,15992143,15992148,16002774,15990789
15992165,mordent,Q48811,15992143,15992148,16002774,15990792
15992165,mordent,Q48811,15992143,15992148,16002391,15990789
15992165,mordent,Q48811,15992143,15992148,16002391,15990792
15992166,turn,Q61542,15992162,15992106,16002391,15990792
15992166,turn,Q61542,15992162,15992106,16002774,15990792
15992166,turn,Q61542,15992162,15992148,16002391,15990792
15992166,turn,Q61542,15992162,15992148,16002774,15990792
15992167,appoggiatura,Q1757335,15992162,15992106,16002774,15990792
15992167,appoggiatura,Q1757335,15992162,15992106,16002774,15990789
15992167,appoggiatura,Q1757335,15992162,15992106,16002391,15990792
15992167,appoggiatura,Q1757335,15992162,15992106,16002391,15990789
15992167,appoggiatura,Q1757335,15992162,15992148,16002774,15990792
15992167,appoggiatura,Q1757335,15992162,15992148,16002774,15990789
15992167,appoggiatura,Q1757335,15992162,15992148,16002391,15990792
15992167,appoggiatura,Q1757335,15992162,15992148,16002391,15990789
15992168,"double appoggiatura",Q123058117,15992162,15992106,16002391,15990792
15992168,"double appoggiatura",Q123058117,15992162,15992106,16002391,15990789
15992168,"double appoggiatura",Q123058117,15992162,15992106,16002774,15990792
15992168,"double appoggiatura",Q123058117,15992162,15992106,16002774,15990789
15992168,"double appoggiatura",Q123058117,15992162,15992148,16002391,15990792
15992168,"double appoggiatura",Q123058117,15992162,15992148,16002391,15990789
15992168,"double appoggiatura",Q123058117,15992162,15992148,16002774,15990792
15992168,"double appoggiatura",Q123058117,15992162,15992148,16002774,15990789
15992168,"double appoggiatura",Q123058117,15992167,15992106,16002391,15990792
15992168,"double appoggiatura",Q123058117,15992167,15992106,16002391,15990789
15992168,"double appoggiatura",Q123058117,15992167,15992106,16002774,15990792
15992168,"double appoggiatura",Q123058117,15992167,15992106,16002774,15990789
15992168,"double appoggiatura",Q123058117,15992167,15992148,16002391,15990792
15992168,"double appoggiatura",Q123058117,15992167,15992148,16002391,15990789
15992168,"double appoggiatura",Q123058117,15992167,15992148,16002774,15990792
15992168,"double appoggiatura",Q123058117,15992167,15992148,16002774,15990789
15992169,glissando,Q471744,15992162,15992106,16002391,15990792
15992169,glissando,Q471744,15992162,15992106,15992227,15990792
15992169,glissando,Q471744,15992162,15992148,16002391,15990792
15992169,glissando,Q471744,15992162,15992148,15992227,15990792
15992177,"alternative melody",,16002137,15992102,16002391,15990793
15992177,"alternative melody",,16002137,15992102,16002391,15990792
15992177,"alternative melody",,16002137,15992102,16002774,15990793
15992177,"alternative melody",,16002137,15992102,16002774,15990792
15992178,passaggio,,15992162,15992175,16002774,15990792
15992178,passaggio,,15992162,15992175,16002391,15990792
15992178,passaggio,,15992162,15992148,16002774,15990792
15992178,passaggio,,15992162,15992148,16002391,15990792
15992179,"alternative lyrics",,16002137,,15992227,15990790
15992179,"alternative lyrics",,16002137,,15992227,15990792
15992179,"alternative lyrics",,16002137,,15992227,15996288
15992180,cut,,16002137,15992106,16002774,15990793
15992180,cut,,16002137,15992106,16002774,15990790
15992184,transliteration,Q134550,15992182,,15992227,15990792
15992184,transliteration,Q134550,15992182,,15992227,15996288
15992185,"add measure",,16002137,15992102,16002774,15990792
15992185,"add measure",,16002137,15992102,16002774,15990793
15992186,"instrument substitution",,16002776,15992102,15992227,15990793
15992186,"instrument substitution",,16002776,15992102,15992227,15990792
15992186,"instrument substitution",,16002776,15992148,15992227,15990793
15992186,"instrument substitution",,16002776,15992148,15992227,15990792
15992187,tacet,Q1567967,16002776,15992102,15992192,15990793
15992187,tacet,Q1567967,16002776,15992102,15992192,15990790
15992187,tacet,Q1567967,16002776,15992102,16002774,15990793
15992187,tacet,Q1567967,16002776,15992102,16002774,15990790
15992194,fortissimo,Q3748790,15992193,15992106,15992192,15990789
15992194,fortissimo,Q3748790,15992193,15992106,15992192,15990793
15992194,fortissimo,Q3748790,15992193,15992106,15992192,15990790
15992196,pianissimo,Q953127,15992195,15992106,15992192,15990789
15992196,pianissimo,Q953127,15992195,15992106,15992192,15990793
15992196,pianissimo,Q953127,15992195,15992106,15992192,15990790
15992199,sforzando,Q1993030,15992201,15992106,15992192,15990789
15992199,sforzando,Q1993030,15992201,15992106,15992192,15990793
15992199,sforzando,Q1993030,15992201,15992106,15992192,15990790
15992199,sforzando,Q1993030,15992201,15992106,15992227,15990789
15992199,sforzando,Q1993030,15992201,15992106,15992227,15990793
15992199,sforzando,Q1993030,15992201,15992106,15992227,15990790
15992199,sforzando,Q1993030,16002509,15992106,15992192,15990789
15992199,sforzando,Q1993030,16002509,15992106,15992192,15990793
15992199,sforzando,Q1993030,16002509,15992106,15992192,15990790
15992199,sforzando,Q1993030,16002509,15992106,15992227,15990789
15992199,sforzando,Q1993030,16002509,15992106,15992227,15990793
15992199,sforzando,Q1993030,16002509,15992106,15992227,15990790
15992201,dynamic,Q113558,,15992100,15992192,15990789
15992201,dynamic,Q113558,,15992100,15992192,15990793
15992201,dynamic,Q113558,,15992100,15992192,15990790
15992203,crescendo,Q2347888,15992201,15992106,15992192,15990789
15992203,crescendo,Q2347888,15992201,15992106,15992192,15990793
15992203,crescendo,Q2347888,15992201,15992106,15992192,15990790
15992203,crescendo,Q2347888,15992201,15992106,15992192,15990792
15992203,crescendo,Q2347888,15992201,15992111,15992192,15990789
15992203,crescendo,Q2347888,15992201,15992111,15992192,15990793
15992203,crescendo,Q2347888,15992201,15992111,15992192,15990790
15992203,crescendo,Q2347888,15992201,15992111,15992192,15990792
15992204,decrescendo,Q1994559,15992201,15992106,15992192,15990789
15992204,decrescendo,Q1994559,15992201,15992106,15992192,15990793
15992204,decrescendo,Q1994559,15992201,15992106,15992192,15990790
15992204,decrescendo,Q1994559,15992201,15992106,15992192,15990792
15992204,decrescendo,Q1994559,15992201,15992111,15992192,15990789
15992204,decrescendo,Q1994559,15992201,15992111,15992192,15990793
15992204,decrescendo,Q1994559,15992201,15992111,15992192,15990790
15992204,decrescendo,Q1994559,15992201,15992111,15992192,15990792
15992205,diminuendo,Q1994559,15992201,15992106,15992192,15990789
15992205,diminuendo,Q1994559,15992201,15992106,15992192,15990793
15992205,diminuendo,Q1994559,15992201,15992106,15992192,15990790
15992205,diminuendo,Q1994559,15992201,15992106,15992192,15990792
15992205,diminuendo,Q1994559,15992201,15992111,15992192,15990789
15992205,diminuendo,Q1994559,15992201,15992111,15992192,15990793
15992205,diminuendo,Q1994559,15992201,15992111,15992192,15990790
15992205,diminuendo,Q1994559,15992201,15992111,15992192,15990792
15992207,accelerando,Q338639,15992105,15992106,16002774,15990789
15992207,accelerando,Q338639,15992105,15992106,16002774,15990793
15992207,accelerando,Q338639,15992105,15992106,16002774,15990790
15992208,adagio,Q482153,15992105,15992106,16002774,15990789
15992208,adagio,Q482153,15992105,15992106,16002774,15990793
15992208,adagio,Q482153,15992105,15992106,16002774,15990790
15992209,allegro,Q2081524,15992105,15992106,16002774,15990789
15992209,allegro,Q2081524,15992105,15992106,16002774,15990793
15992209,allegro,Q2081524,15992105,15992106,16002774,15990790
15992210,andante,Q2499193,15992105,15992106,16002774,15990789
15992210,andante,Q2499193,15992105,15992106,16002774,15990793
15992210,andante,Q2499193,15992105,15992106,16002774,15990790
15992211,largo,Q1805930,15992105,15992106,16002774,15990789
15992211,largo,Q1805930,15992105,15992106,16002774,15990793
15992211,largo,Q1805930,15992105,15992106,16002774,15990790
15992212,"metronome mark",Q124518125,15992105,15992106,16002774,15990789
15992212,"metronome mark",Q124518125,15992105,15992106,16002774,15990793
15992212,"metronome mark",Q124518125,15992105,15992106,16002774,15990790
15992212,"metronome mark",Q124518125,15992105,15992106,16002774,15990792
15992212,"metronome mark",Q124518125,15992130,15992106,16002774,15990789
15992212,"metronome mark",Q124518125,15992130,15992106,16002774,15990793
15992212,"metronome mark",Q124518125,15992130,15992106,16002774,15990790
15992212,"metronome mark",Q124518125,15992130,15992106,16002774,15990792
15992213,presto,Q2096748,15992105,15992106,16002774,15990789
15992213,presto,Q2096748,15992105,15992106,16002774,15990793
15992213,presto,Q2096748,15992105,15992106,16002774,15990790
15992214,rallentando,Q577213,15992105,15992106,16002774,15990789
15992214,rallentando,Q577213,15992105,15992106,16002774,15990793
15992214,rallentando,Q577213,15992105,15992106,16002774,15990790
15992214,rallentando,Q577213,15992105,15992106,16002774,15990792
15992215,ritardando,Q1671019,15992105,15992106,16002774,15990789
15992215,ritardando,Q1671019,15992105,15992106,16002774,15990793
15992215,ritardando,Q1671019,15992105,15992106,16002774,15990790
15992215,ritardando,Q1671019,15992105,15992106,16002774,15990792
15992216,ritenuto,Q1646162,15992105,15992106,16002774,15990789
15992216,ritenuto,Q1646162,15992105,15992106,16002774,15990793
15992216,ritenuto,Q1646162,15992105,15992106,16002774,15990790
15992216,ritenuto,Q1646162,15992105,15992106,16002774,15990792
15992217,stringendo,Q2735115,15992105,15992106,16002774,15990789
15992217,stringendo,Q2735115,15992105,15992106,16002774,15990793
15992217,stringendo,Q2735115,15992105,15992106,16002774,15990790
15992218,"ma non troppo",Q2517964,15992105,15992106,,15990789
15992218,"ma non troppo",Q2517964,15992105,15992106,,15990793
15992218,"ma non troppo",Q2517964,15992105,15992106,,15990790
15992222,"tactus subdivision",,15992105,15992102,16002774,15990793
15992223,"tempo primo",Q2158106,15992105,15992106,16002774,15990789
15992223,"tempo primo",Q2158106,15992105,15992106,16002774,15990793
15992224,tenuto,Q1542153,15992105,15992106,16002774,15990792
15992224,tenuto,Q1542153,15992105,15992106,16002774,15990789
15992224,tenuto,Q1542153,15992105,15992106,16002774,15990793
15992224,tenuto,Q1542153,15992105,15992106,15992192,15990792
15992224,tenuto,Q1542153,15992105,15992106,15992192,15990789
15992224,tenuto,Q1542153,15992105,15992106,15992192,15990793
15992224,tenuto,Q1542153,15992105,15992148,16002774,15990792
15992224,tenuto,Q1542153,15992105,15992148,16002774,15990789
15992224,tenuto,Q1542153,15992105,15992148,16002774,15990793
15992224,tenuto,Q1542153,15992105,15992148,15992192,15990792
15992224,tenuto,Q1542153,15992105,15992148,15992192,15990789
15992224,tenuto,Q1542153,15992105,15992148,15992192,15990793
15992224,tenuto,Q1542153,15992162,15992106,16002774,15990792
15992224,tenuto,Q1542153,15992162,15992106,16002774,15990789
15992224,tenuto,Q1542153,15992162,15992106,16002774,15990793
15992224,tenuto,Q1542153,15992162,15992106,15992192,15990792
15992224,tenuto,Q1542153,15992162,15992106,15992192,15990789
15992224,tenuto,Q1542153,15992162,15992106,15992192,15990793
15992224,tenuto,Q1542153,15992162,15992148,16002774,15990792
15992224,tenuto,Q1542153,15992162,15992148,16002774,15990789
15992224,tenuto,Q1542153,15992162,15992148,16002774,15990793
15992224,tenuto,Q1542153,15992162,15992148,15992192,15990792
15992224,tenuto,Q1542153,15992162,15992148,15992192,15990789
15992224,tenuto,Q1542153,15992162,15992148,15992192,15990793
15992225,arco,,16002775,15992106,15992227,15990792
15992225,arco,,16002775,15992106,15992227,15990793
15992225,arco,,16002775,15992106,15992192,15990792
15992225,arco,,16002775,15992106,15992192,15990793
15992225,arco,,16002775,15992148,15992227,15990792
15992225,arco,,16002775,15992148,15992227,15990793
15992225,arco,,16002775,15992148,15992192,15990792
15992225,arco,,16002775,15992148,15992192,15990793
15992225,arco,,15992143,15992106,15992227,15990792
15992225,arco,,15992143,15992106,15992227,15990793
15992225,arco,,15992143,15992106,15992192,15990792
15992225,arco,,15992143,15992106,15992192,15990793
15992225,arco,,15992143,15992148,15992227,15990792
15992225,arco,,15992143,15992148,15992227,15990793
15992225,arco,,15992143,15992148,15992192,15990792
15992225,arco,,15992143,15992148,15992192,15990793
15992226,pizzicato,Q213460,15992143,15992106,15992227,15990792
15992226,pizzicato,Q213460,15992143,15992106,15992227,15990793
15992226,pizzicato,Q213460,15992143,15992106,15992192,15990792
15992226,pizzicato,Q213460,15992143,15992106,15992192,15990793
15992226,pizzicato,Q213460,15992143,15992148,15992227,15990792
15992226,pizzicato,Q213460,15992143,15992148,15992227,15990793
15992226,pizzicato,Q213460,15992143,15992148,15992192,15990792
15992226,pizzicato,Q213460,15992143,15992148,15992192,15990793
15992228,"string harmonic",Q576006,,15992106,15992227,15990792
15992228,"string harmonic",Q576006,,15992106,15992227,15990789
15992228,"string harmonic",Q576006,,15992148,15992227,15990792
15992228,"string harmonic",Q576006,,15992148,15992227,15990789
15992229,bowing,Q9338812,16002775,15992106,15992227,15990792
15992229,bowing,Q9338812,16002775,15992106,15992227,15990793
15992229,bowing,Q9338812,16002775,15992148,15992227,15990792
15992229,bowing,Q9338812,16002775,15992148,15992227,15990793
15992230,"engage pedal",Q124518660,16002775,15992106,15992227,15990792
15992230,"engage pedal",Q124518660,16002775,15992106,15992227,15990790
15992230,"engage pedal",Q124518660,16002775,15992106,15992227,15990789
15992230,"engage pedal",Q124518660,16002775,15992106,15992192,15990792
15992230,"engage pedal",Q124518660,16002775,15992106,15992192,15990790
15992230,"engage pedal",Q124518660,16002775,15992106,15992192,15990789
15992232,"una corda",,16002775,15992106,15992227,15990792
15992232,"una corda",,16002775,15992106,15992227,15990789
15992232,"una corda",,16002775,15992106,15992227,15990790
15992232,"una corda",,16002775,15992106,15992192,15990792
15992232,"una corda",,16002775,15992106,15992192,15990789
15992232,"una corda",,16002775,15992106,15992192,15990790
15992233,"tre le corde",,16002775,15992106,15992227,15990789
15992233,"tre le corde",,16002775,15992106,15992227,15990790
15992233,"tre le corde",,16002775,15992106,15992227,15990792
15992233,"tre le corde",,16002775,15992106,15992192,15990789
15992233,"tre le corde",,16002775,15992106,15992192,15990790
15992233,"tre le corde",,16002775,15992106,15992192,15990792
15992231,"release pedal",Q124518670,16002775,15992106,15992192,15990792
15992231,"release pedal",Q124518670,16002775,15992106,15992192,15990790
15992231,"release pedal",Q124518670,16002775,15992106,15992192,15990789
15992231,"release pedal",Q124518670,16002775,15992106,15992227,15990792
15992231,"release pedal",Q124518670,16002775,15992106,15992227,15990790
15992231,"release pedal",Q124518670,16002775,15992106,15992227,15990789
15992234,portato,Q1930998,15992143,15992106,16002774,15990793
15992234,portato,Q1930998,15992143,15992106,16002774,15990789
