category,faam_property,type,value,base_url,label
metadata,label,string,Collège Stanislas de Paris,,
metadata,label,string,Collège Stanislas de Paris,,
metadata,description,string,,,
metadata,description,string,private Catholic school in Paris,,
metadata,id,id,5jkJD29y,,
metadata,nodegoat_id,id,15991106,,
metadata,qid,externalid,Q2983698,http://wwww.wikidata.org/entity/,
metadata,aliases,string,Stan,,
metadata,aliases,string,College Stanislas de Paris,,
metadata,aliases,string,collège Stanislas,,
metadata,aliases,string,Collège Stanislas de Paris,,
statements,place,item,SZFa8mvk,,
statements,country,item,Eqo9Fq2n,,France
